timestamp,joint_positions,joint_velocities,eef_position,eef_orientation,gripper_action,gripper_goal_state
1750851652.0799043,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.54050004,-0.14973778,0.21059929","0.9966914,-0.041283842,0.047136698,0.05172235",0.0,closed
1750851652.1297858,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.54277295,-0.15903477,0.20620562","0.9976136,-0.03949861,0.03697734,0.042834897",0.0,closed
1750851652.1797853,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5450639,-0.16745251,0.20290557","0.9982299,-0.035561267,0.030090548,0.03690783",0.0,closed
1750851652.2298727,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.54785246,-0.17599697,0.20120326","0.99854666,-0.029968485,0.027705025,0.035129078",0.0,closed
1750851652.2798643,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.55080783,-0.18414305,0.20075221","0.99867046,-0.023763988,0.028283108,0.035885952",0.0,closed
1750851652.3299978,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5525843,-0.19206001,0.20062421","0.9987213,-0.018576246,0.029134853,0.036837343",0.0,closed
1750851652.3799188,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.55470544,-0.19979459,0.20180193","0.99868906,-0.013700686,0.031161595,0.038165957",0.0,closed
1750851652.4297826,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5571226,-0.20699818,0.20334548","0.99861676,-0.0081366785,0.033513054,0.03962851",0.0,closed
1750851652.479802,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5603623,-0.21316285,0.20476122","0.9985258,-0.003923638,0.0359698,0.040400174",0.0,closed
1750851652.5300567,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5632096,-0.21730426,0.20423913","0.9985836,-0.0026426367,0.035973176,0.039050408",0.0,closed
1750851652.579961,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.56540036,-0.21957079,0.20144692","0.9988105,-0.002863796,0.032398187,0.036260504",0.0,closed
1750851652.629858,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5685184,-0.22027084,0.19797902","0.99903697,-0.0049811755,0.028918156,0.032546155",0.0,closed
1750851652.6798391,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5730458,-0.21961157,0.19402252","0.9991828,-0.0074361865,0.027918447,0.02818008",0.0,closed
1750851652.7297862,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5782775,-0.21875256,0.1895526","0.99925965,-0.008378849,0.027916968,0.025016353",0.0,closed
1750851652.779932,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5836333,-0.2181552,0.18478219","0.9993203,-0.008759993,0.027797613,0.022464354",0.0,closed
1750851652.8297706,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.58849674,-0.21792123,0.17949644","0.9993833,-0.008354279,0.026994452,0.020729853",0.0,closed
1750851652.879761,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.59276706,-0.2173143,0.17350571","0.9994657,-0.007270336,0.025431493,0.019075533",0.0,closed
1750851652.9298332,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.5965933,-0.21645086,0.16694672","0.99955285,-0.0062337243,0.02356721,0.017175913",0.0,closed
1750851652.9799728,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.599657,-0.21566044,0.15987107","0.99963737,-0.0056841983,0.021426558,0.015129357",0.0,closed
1750851653.0297868,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.602018,-0.21494718,0.1525983","0.99971545,-0.0066088806,0.018861763,0.012836533",0.0,closed
1750851653.0798914,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.6037554,-0.21415196,0.14548814","0.99977624,-0.0075889253,0.01661362,0.010443989",0.0,closed
1750851653.1297946,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.60539824,-0.21347907,0.13914718","0.9998061,-0.008989394,0.015570606,0.0077261445",0.0,closed
1750851653.179951,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.60695004,-0.21271051,0.13374603","0.9997903,-0.012375815,0.015696095,0.0038692348",0.0,closed
1750851653.2299132,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.60865194,-0.21176186,0.12942272","0.99972457,-0.016097486,0.016936403,-3.95171e-05",0.0,closed
1750851653.2797942,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.61033714,-0.21048647,0.12586796","0.9996468,-0.01878865,0.018313412,-0.003625881",0.0,closed
1750851653.3298135,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.61160916,-0.20949078,0.122701265","0.9996317,-0.018929513,0.018680692,-0.004936691",0.0,closed
1750851653.3799105,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.61248696,-0.20848839,0.1199275","0.99965006,-0.018207042,0.01818704,-0.0057142135",0.0,closed
1750851653.4297965,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.6135791,-0.2076218,0.11750481","0.99966764,-0.017523158,0.017618602,-0.0065069594",0.0,closed
1750851653.4797945,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.61470574,-0.20686483,0.11512149","0.9996821,-0.01691732,0.017085595,-0.007262816",0.0,closed
1750851653.529753,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.6160161,-0.20637712,0.11298304","0.99969095,-0.016443172,0.016754318,-0.007877427",0.0,closed
1750851653.579817,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.61765665,-0.20622157,0.111393176","0.99969035,-0.016093718,0.01695999,-0.008232621",0.0,closed
1750851653.6297913,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.6196604,-0.20658392,0.11018821","0.99968046,-0.015985047,0.017606096,-0.008285717",0.0,closed
1750851653.6798337,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.621428,-0.20703295,0.1088117","0.999673,-0.015958687,0.018017923,-0.008347315",0.0,closed
1750851653.7299418,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.62291926,-0.20728827,0.10728291","0.99967045,-0.015871974,0.018159281,-0.008513295",0.0,closed
1750851653.779837,"0.0,0.0,0.0,-1.59695,0.0,2.5307,0.0",,"0.6238574,-0.20725586,0.105547585","0.99967575,-0.015710574,0.017842239,-0.00885671",0.0,closed
